utcDate,homeTeam,awayTeam,score
2026-02-01T13:30:00Z,HER,SIT,
2026-02-01T13:30:00Z,PSV,FEY,
2026-02-01T15:45:00Z,HEE,UTR,
2026-02-01T19:00:00Z,VOL,GOA,
2026-02-07T00:00:00Z,AZ,AJA,
2026-02-07T00:00:00Z,GRO,PSV,
2026-02-07T00:00:00Z,UTR,FEY,
2026-02-07T00:00:00Z,SIT,SPA,
2026-02-07T00:00:00Z,GOA,TEL,
2026-02-07T00:00:00Z,NAC,EXC,
2026-02-07T00:00:00Z,NEC,HER,
2026-02-07T00:00:00Z,ZWO,VOL,
2026-02-07T00:00:00Z,TWE,HEE,
2026-02-14T00:00:00Z,AJA,SIT,
2026-02-14T00:00:00Z,EXC,AZ,
2026-02-14T00:00:00Z,GRO,UTR,
2026-02-14T00:00:00Z,VOL,PSV,
2026-02-14T00:00:00Z,FEY,GOA,
2026-02-14T00:00:00Z,HER,NAC,
2026-02-14T00:00:00Z,HEE,ZWO,
2026-02-14T00:00:00Z,SPA,NEC,
2026-02-14T00:00:00Z,TEL,TWE,
2026-02-21T00:00:00Z,AJA,NEC,
2026-02-21T00:00:00Z,AZ,SPA,
2026-02-21T00:00:00Z,UTR,ZWO,
2026-02-21T00:00:00Z,FEY,TEL,
2026-02-21T00:00:00Z,SIT,EXC,
2026-02-21T00:00:00Z,GOA,HER,
2026-02-21T00:00:00Z,NAC,VOL,
2026-02-21T00:00:00Z,PSV,HEE,
2026-02-21T00:00:00Z,TWE,GRO,
2026-02-28T00:00:00Z,EXC,GOA,
2026-02-28T00:00:00Z,UTR,AZ,
2026-02-28T00:00:00Z,VOL,GRO,
2026-02-28T00:00:00Z,HER,PSV,
2026-02-28T00:00:00Z,NEC,SIT,
2026-02-28T00:00:00Z,ZWO,AJA,
2026-02-28T00:00:00Z,HEE,SPA,
2026-02-28T00:00:00Z,TEL,NAC,
2026-02-28T00:00:00Z,TWE,FEY,
2026-03-07T00:00:00Z,EXC,HEE,
2026-03-07T00:00:00Z,GRO,AJA,
2026-03-07T00:00:00Z,SIT,TEL,
2026-03-07T00:00:00Z,GOA,TWE,
2026-03-07T00:00:00Z,HER,UTR,
2026-03-07T00:00:00Z,NAC,FEY,
2026-03-07T00:00:00Z,NEC,VOL,
2026-03-07T00:00:00Z,PSV,AZ,
2026-03-07T00:00:00Z,SPA,ZWO,
2026-03-14T00:00:00Z,AJA,SPA,
2026-03-14T00:00:00Z,AZ,HER,
2026-03-14T00:00:00Z,VOL,SIT,
2026-03-14T00:00:00Z,FEY,EXC,
2026-03-14T00:00:00Z,GOA,NAC,
2026-03-14T00:00:00Z,ZWO,GRO,
2026-03-14T00:00:00Z,PSV,NEC,
2026-03-14T00:00:00Z,HEE,TEL,
2026-03-14T00:00:00Z,TWE,UTR,
2026-03-21T00:00:00Z,GRO,AZ,
2026-03-21T00:00:00Z,UTR,GOA,
2026-03-21T00:00:00Z,FEY,AJA,
2026-03-21T00:00:00Z,SIT,TWE,
2026-03-21T00:00:00Z,HER,EXC,
2026-03-21T00:00:00Z,NEC,HEE,
2026-03-21T00:00:00Z,ZWO,NAC,
2026-03-21T00:00:00Z,SPA,VOL,
2026-03-21T00:00:00Z,TEL,PSV,
2026-04-04T00:00:00Z,AJA,TWE,
2026-04-04T00:00:00Z,AZ,SIT,
2026-04-04T00:00:00Z,EXC,NEC,
2026-04-04T00:00:00Z,VOL,FEY,
2026-04-04T00:00:00Z,GOA,ZWO,
2026-04-04T00:00:00Z,NAC,SPA,
2026-04-04T00:00:00Z,PSV,UTR,
2026-04-04T00:00:00Z,HEE,HER,
2026-04-04T00:00:00Z,TEL,GRO,
2026-04-11T00:00:00Z,AZ,HEE,
2026-04-11T00:00:00Z,GRO,GOA,
2026-04-11T00:00:00Z,UTR,TEL,
2026-04-11T00:00:00Z,SIT,NAC,
2026-04-11T00:00:00Z,HER,AJA,
2026-04-11T00:00:00Z,NEC,FEY,
2026-04-11T00:00:00Z,ZWO,EXC,
2026-04-11T00:00:00Z,SPA,PSV,
2026-04-11T00:00:00Z,TWE,VOL,
2026-04-23T00:00:00Z,EXC,UTR,
2026-04-23T00:00:00Z,FEY,GRO,
2026-04-23T00:00:00Z,GOA,AZ,
2026-04-23T00:00:00Z,HER,VOL,
2026-04-23T00:00:00Z,NAC,AJA,
2026-04-23T00:00:00Z,PSV,ZWO,
2026-04-23T00:00:00Z,HEE,SIT,
2026-04-23T00:00:00Z,TEL,SPA,
2026-04-23T00:00:00Z,TWE,NEC,
2026-05-02T00:00:00Z,AJA,PSV,
2026-05-02T00:00:00Z,AZ,TWE,
2026-05-02T00:00:00Z,GRO,EXC,
2026-05-02T00:00:00Z,UTR,NAC,
2026-05-02T00:00:00Z,VOL,HEE,
2026-05-02T00:00:00Z,SIT,FEY,
2026-05-02T00:00:00Z,NEC,TEL,
2026-05-02T00:00:00Z,ZWO,HER,
2026-05-02T00:00:00Z,SPA,GOA,
2026-05-10T14:45:00Z,AJA,UTR,
2026-05-10T14:45:00Z,EXC,VOL,
2026-05-10T14:45:00Z,GRO,NEC,
2026-05-10T14:45:00Z,FEY,AZ,
2026-05-10T14:45:00Z,SIT,ZWO,
2026-05-10T14:45:00Z,GOA,PSV,
2026-05-10T14:45:00Z,NAC,HEE,
2026-05-10T14:45:00Z,TEL,HER,
2026-05-10T14:45:00Z,TWE,SPA,
2026-05-17T12:30:00Z,AZ,NAC,
2026-05-17T12:30:00Z,UTR,SIT,
2026-05-17T12:30:00Z,VOL,TEL,
2026-05-17T12:30:00Z,HER,GRO,
2026-05-17T12:30:00Z,NEC,GOA,
2026-05-17T12:30:00Z,ZWO,FEY,
2026-05-17T12:30:00Z,PSV,TWE,
2026-05-17T12:30:00Z,HEE,AJA,
2026-05-17T12:30:00Z,SPA,EXC,
