utcDate,homeTeam,awayTeam,score
2026-01-04T16:15:00Z,BRE,AJA,
2026-01-04T19:45:00Z,PSG,PFC,
2026-01-16T18:00:00Z,ASM,FCL,
2026-01-16T20:00:00Z,PSG,LIL,
2026-01-17T16:00:00Z,RCL,AJA,
2026-01-17T18:00:00Z,TOU,NIC,
2026-01-17T20:05:00Z,ANG,MAR,
2026-01-18T14:00:00Z,RC ,FCM,
2026-01-18T16:15:00Z,NAN,PFC,
2026-01-18T16:15:00Z,REN,HAC,
2026-01-18T19:45:00Z,LYO,BRE,
2026-01-23T19:00:00Z,AJA,PSG,
2026-01-24T16:00:00Z,REN,FCL,
2026-01-24T18:00:00Z,HAC,ASM,
2026-01-24T20:05:00Z,MAR,RCL,
2026-01-25T14:00:00Z,NAN,NIC,
2026-01-25T16:15:00Z,FCM,LYO,
2026-01-25T16:15:00Z,PFC,ANG,
2026-01-25T16:15:00Z,BRE,TOU,
2026-01-25T19:45:00Z,LIL,RC ,
2026-01-30T19:45:00Z,RCL,HAC,
2026-01-31T16:00:00Z,PFC,MAR,
2026-01-31T18:00:00Z,FCL,NAN,
2026-01-31T20:05:00Z,ASM,REN,
2026-02-01T14:00:00Z,LYO,LIL,
2026-02-01T16:15:00Z,TOU,AJA,
2026-02-01T16:15:00Z,NIC,BRE,
2026-02-01T16:15:00Z,ANG,FCM,
2026-02-01T19:45:00Z,RC ,PSG,
2026-02-08T00:00:00Z,HAC,RC ,
2026-02-08T00:00:00Z,AJA,PFC,
2026-02-08T00:00:00Z,FCM,LIL,
2026-02-08T00:00:00Z,NAN,LYO,
2026-02-08T00:00:00Z,NIC,ASM,
2026-02-08T00:00:00Z,PSG,MAR,
2026-02-08T00:00:00Z,RCL,REN,
2026-02-08T00:00:00Z,ANG,TOU,
2026-02-08T00:00:00Z,BRE,FCL,
2026-02-15T00:00:00Z,HAC,TOU,
2026-02-15T00:00:00Z,ASM,NAN,
2026-02-15T00:00:00Z,FCL,ANG,
2026-02-15T00:00:00Z,FCM,AJA,
2026-02-15T00:00:00Z,PFC,RCL,
2026-02-15T00:00:00Z,LYO,NIC,
2026-02-15T00:00:00Z,MAR,RC ,
2026-02-15T00:00:00Z,LIL,BRE,
2026-02-15T00:00:00Z,REN,PSG,
2026-02-22T00:00:00Z,AJA,REN,
2026-02-22T00:00:00Z,NAN,HAC,
2026-02-22T00:00:00Z,TOU,PFC,
2026-02-22T00:00:00Z,NIC,FCL,
2026-02-22T00:00:00Z,PSG,FCM,
2026-02-22T00:00:00Z,RC ,LYO,
2026-02-22T00:00:00Z,RCL,ASM,
2026-02-22T00:00:00Z,ANG,LIL,
2026-02-22T00:00:00Z,BRE,MAR,
2026-03-01T00:00:00Z,HAC,PSG,
2026-03-01T00:00:00Z,ASM,ANG,
2026-03-01T00:00:00Z,FCL,AJA,
