utcDate,homeTeam,awayTeam,score
2025-08-17T23:30:00Z,BOT,PAL,0-1
2025-08-18T23:00:00Z,MIR,CRU,1-1
2025-08-20T22:00:00Z,JUV,VAS,2-0
2025-08-23T19:00:00Z,RBB,FLU,4-2
2025-08-23T21:30:00Z,CRU,SCI,2-1
2025-08-24T00:00:00Z,FBP,CSC,0-0
2025-08-24T19:00:00Z,VAS,COR,2-3
2025-08-24T19:00:00Z,BAH,SAN,2-0
2025-08-24T21:30:00Z,FEC,MIR,0-1
2025-08-24T21:30:00Z,JUV,BOT,1-3
2025-08-24T23:30:00Z,PAU,CAM,2-0
2025-08-25T22:00:00Z,PAL,REC,3-0
2025-08-26T00:00:00Z,FLA,VIT,8-0
2025-08-30T19:00:00Z,CSC,JUV,0-1
2025-08-30T21:30:00Z,BOT,RBB,4-1
2025-08-31T00:00:00Z,CRU,PAU,1-0
2025-08-31T19:00:00Z,FLA,FBP,1-1
2025-08-31T19:00:00Z,SAN,FLU,0-0
2025-08-31T21:30:00Z,COR,PAL,1-1
2025-08-31T21:30:00Z,MIR,BAH,5-1
2025-08-31T21:30:00Z,VIT,CAM,1-0
2025-08-31T23:30:00Z,SCI,FEC,2-1
2025-08-31T23:30:00Z,REC,VAS,2-3
2025-09-13T19:00:00Z,FBP,MIR,0-1
2025-09-13T19:00:00Z,FEC,VIT,2-0
2025-09-13T21:30:00Z,PAL,SCI,4-1
2025-09-14T00:00:00Z,FLU,COR,0-1
2025-09-14T14:00:00Z,RBB,REC,1-1
2025-09-14T19:00:00Z,CAM,SAN,1-1
2025-09-14T19:00:00Z,JUV,FLA,0-2
2025-09-14T20:30:00Z,PAU,BOT,1-0
2025-09-14T23:30:00Z,VAS,CSC,2-2
2025-09-15T23:00:00Z,BAH,CRU,1-2
2025-09-17T22:30:00Z,BOT,MIR,3-3
2025-09-20T19:00:00Z,VIT,FLU,0-1
2025-09-20T21:30:00Z,BOT,CAM,1-0
2025-09-20T21:30:00Z,CSC,BAH,1-1
2025-09-21T00:00:00Z,PAL,FEC,4-1
2025-09-21T19:00:00Z,MIR,JUV,2-0
2025-09-21T20:30:00Z,FLA,VAS,1-1
2025-09-21T20:30:00Z,SCI,FBP,2-3
2025-09-21T20:30:00Z,REC,COR,1-0
2025-09-21T23:30:00Z,SAN,PAU,1-0
2025-09-21T23:30:00Z,CRU,RBB,2-1
2025-09-24T22:30:00Z,VAS,BAH,3-1
2025-09-24T22:30:00Z,FBP,BOT,1-1
2025-09-27T19:00:00Z,FEC,REC,1-0
2025-09-27T21:30:00Z,VAS,CRU,2-0
2025-09-27T21:30:00Z,JUV,SCI,1-1
2025-09-28T00:00:00Z,CAM,MIR,1-0
2025-09-28T14:00:00Z,FBP,VIT,3-1
2025-09-28T19:00:00Z,FLU,BOT,2-0
2025-09-28T19:00:00Z,BAH,PAL,1-0
2025-09-28T21:30:00Z,RBB,SAN,2-2
2025-09-28T23:30:00Z,COR,FLA,1-2
2025-09-29T23:00:00Z,PAU,CSC,0-1
2025-10-01T00:30:00Z,CAM,JUV,0-0
2025-10-01T22:00:00Z,PAL,VAS,3-0
2025-10-01T22:00:00Z,MIR,RBB,1-1
2025-10-01T22:00:00Z,REC,FLU,2-2
2025-10-01T22:30:00Z,SCI,COR,1-1
2025-10-02T00:30:00Z,BOT,BAH,2-1
2025-10-02T00:30:00Z,SAN,FBP,1-1
2025-10-02T22:00:00Z,VIT,CSC,1-0
2025-10-02T22:30:00Z,FEC,PAU,0-2
2025-10-02T23:30:00Z,FLA,CRU,0-0
2025-10-04T21:30:00Z,FLU,CAM,3-0
2025-10-04T21:30:00Z,RBB,FBP,1-0
2025-10-04T21:30:00Z,SCI,BOT,2-0
2025-10-05T00:00:00Z,COR,MIR,3-0
2025-10-05T19:00:00Z,VAS,VIT,4-3
2025-10-05T19:00:00Z,PAU,PAL,2-3
2025-10-05T21:30:00Z,BAH,FLA,1-0
2025-10-05T21:30:00Z,JUV,FEC,1-2
2025-10-05T23:30:00Z,CRU,REC,1-1
2025-10-05T23:30:00Z,CSC,SAN,3-0
2025-10-08T22:00:00Z,CAM,REC,3-1
2025-10-09T00:00:00Z,MIR,FLU,2-1
2025-10-11T22:00:00Z,PAL,JUV,4-1
2025-10-15T22:00:00Z,PAL,RBB,5-1
2025-10-15T22:30:00Z,BOT,FLA,0-3
2025-10-15T23:00:00Z,MIR,SCI,3-1
2025-10-15T23:00:00Z,REC,CSC,1-1
2025-10-16T00:30:00Z,SAN,COR,3-1
2025-10-16T00:30:00Z,CAM,CRU,1-1
2025-10-16T00:30:00Z,FEC,VAS,0-2
2025-10-16T22:00:00Z,FBP,PAU,2-0
2025-10-17T00:30:00Z,FLU,JUV,1-0
2025-10-17T00:30:00Z,VIT,BAH,2-1
2025-07-23T00:00:00Z,CAM,FEC,
2025-10-18T21:30:00Z,COR,CAM,
2025-10-19T00:00:00Z,CRU,FEC,
2025-10-19T19:00:00Z,FLA,PAL,
2025-10-19T21:30:00Z,MIR,PAU,
2025-10-19T21:30:00Z,SCI,REC,
2025-10-19T21:30:00Z,CSC,BOT,
2025-10-19T23:30:00Z,BAH,FBP,
2025-10-20T22:00:00Z,JUV,RBB,
2025-10-20T22:30:00Z,VAS,FLU,
2025-10-21T00:30:00Z,SAN,VIT,
2025-10-22T22:00:00Z,BAH,SCI,
2025-10-25T19:00:00Z,CAM,CSC,
2025-10-25T19:00:00Z,VIT,COR,
2025-10-25T21:30:00Z,REC,MIR,
2025-10-25T22:30:00Z,FEC,FLA,
2025-10-26T01:30:00Z,FLU,SCI,
2025-10-26T01:30:00Z,PAU,BAH,
2025-10-26T19:00:00Z,BOT,SAN,
2025-10-26T21:30:00Z,RBB,VAS,
2025-10-26T23:30:00Z,PAL,CRU,
2025-10-27T23:00:00Z,FBP,JUV,
2025-10-29T22:00:00Z,FLU,CSC,
2025-11-01T19:00:00Z,CRU,VIT,
2025-11-01T21:30:00Z,MIR,BOT,
2025-11-02T00:00:00Z,FLA,REC,
2025-11-02T19:00:00Z,COR,FBP,
2025-11-02T19:00:00Z,CSC,FLU,
2025-11-02T21:30:00Z,SCI,CAM,
2025-11-02T21:30:00Z,BAH,RBB,
2025-11-02T23:30:00Z,VAS,PAU,
2025-11-02T23:30:00Z,JUV,PAL,
2025-11-03T23:00:00Z,SAN,FEC,
2025-11-05T22:00:00Z,RBB,COR,
2025-11-05T22:00:00Z,VIT,SCI,
2025-11-05T22:00:00Z,REC,JUV,
2025-11-05T22:30:00Z,BOT,VAS,
2025-11-05T23:00:00Z,CAM,BAH,
2025-11-05T23:00:00Z,FBP,CRU,
2025-11-06T00:30:00Z,PAU,FLA,
2025-11-06T22:30:00Z,FLU,MIR,
2025-11-06T23:00:00Z,CSC,FEC,
2025-11-07T00:30:00Z,PAL,SAN,
2025-11-08T19:00:00Z,REC,CAM,
2025-11-08T21:00:00Z,VAS,JUV,
2025-11-08T21:30:00Z,SCI,BAH,
2025-11-09T00:00:00Z,PAU,RBB,
2025-11-09T19:00:00Z,COR,CSC,
2025-11-09T19:00:00Z,CRU,FLU,
2025-11-09T21:30:00Z,FLA,SAN,
2025-11-09T21:30:00Z,VIT,BOT,
2025-11-09T23:30:00Z,MIR,PAL,
2025-11-09T23:30:00Z,FEC,FBP,
2025-11-13T23:30:00Z,REC,FLA,
2025-11-16T00:00:00Z,SAN,PAL,
2025-12-06T00:00:00Z,FLU,FLA,
2025-12-06T00:00:00Z,BOT,REC,
2025-12-06T00:00:00Z,COR,PAU,
2025-12-06T00:00:00Z,SAN,MIR,
2025-12-06T00:00:00Z,RBB,VIT,
2025-12-06T00:00:00Z,CAM,PAL,
2025-12-06T00:00:00Z,FBP,VAS,
2025-12-06T00:00:00Z,BAH,FEC,
2025-12-06T00:00:00Z,CSC,SCI,
2025-12-06T00:00:00Z,JUV,CRU,
2025-12-10T00:00:00Z,FLA,RBB,
2025-12-10T00:00:00Z,BOT,FBP,
2025-12-10T00:00:00Z,PAL,FLU,
2025-12-10T00:00:00Z,PAU,JUV,
2025-12-10T00:00:00Z,MIR,CSC,
2025-12-10T00:00:00Z,CRU,COR,
2025-12-10T00:00:00Z,SCI,SAN,
2025-12-10T00:00:00Z,BAH,VAS,
2025-12-10T00:00:00Z,FEC,CAM,
2025-12-10T00:00:00Z,REC,VIT,
2025-12-13T00:00:00Z,FLU,PAU,
2025-12-13T00:00:00Z,VAS,SCI,
2025-12-13T00:00:00Z,COR,BOT,
2025-12-13T00:00:00Z,SAN,REC,
2025-12-13T00:00:00Z,RBB,FEC,
2025-12-13T00:00:00Z,CAM,FLA,
2025-12-13T00:00:00Z,FBP,PAL,
2025-12-13T00:00:00Z,VIT,MIR,
2025-12-13T00:00:00Z,CSC,CRU,
2025-12-13T00:00:00Z,JUV,BAH,
2025-12-17T00:00:00Z,VAS,MIR,
2025-12-17T00:00:00Z,PAL,VIT,
2025-12-17T00:00:00Z,PAU,SCI,
2025-12-17T00:00:00Z,RBB,CAM,
2025-12-17T00:00:00Z,CRU,BOT,
2025-12-17T00:00:00Z,FBP,FLU,
2025-12-17T00:00:00Z,BAH,REC,
2025-12-17T00:00:00Z,FEC,COR,
2025-12-17T00:00:00Z,JUV,SAN,
2025-12-17T00:00:00Z,FLA,CSC,
2025-12-21T00:00:00Z,FLU,BAH,
2025-12-21T00:00:00Z,BOT,FEC,
2025-12-21T00:00:00Z,COR,JUV,
2025-12-21T00:00:00Z,SAN,CRU,
2025-12-21T00:00:00Z,MIR,FLA,
2025-12-21T00:00:00Z,CAM,VAS,
2025-12-21T00:00:00Z,SCI,RBB,
2025-12-21T00:00:00Z,VIT,PAU,
2025-12-21T00:00:00Z,CSC,PAL,
2025-12-21T00:00:00Z,REC,FBP,
