utcDate,homeTeam,awayTeam,score
2026-01-17T00:00:00Z,WOL,NEW,
2026-01-24T00:00:00Z,BOU,LIV,
2026-01-24T00:00:00Z,CRY,CHE,
2026-01-24T00:00:00Z,ARS,MUN,
2026-01-24T00:00:00Z,BRE,NOT,
2026-01-24T00:00:00Z,BUR,TOT,
2026-01-24T00:00:00Z,EVE,LEE,
2026-01-24T00:00:00Z,FUL,BHA,
2026-01-24T00:00:00Z,MCI,WOL,
2026-01-24T00:00:00Z,NEW,AVL,
2026-01-24T00:00:00Z,WHU,SUN,
2026-01-31T00:00:00Z,SUN,BUR,
2026-01-31T00:00:00Z,AVL,BRE,
2026-01-31T00:00:00Z,BHA,EVE,
2026-01-31T00:00:00Z,CHE,WHU,
2026-01-31T00:00:00Z,LIV,NEW,
2026-01-31T00:00:00Z,LEE,ARS,
2026-01-31T00:00:00Z,MUN,FUL,
2026-01-31T00:00:00Z,NOT,CRY,
2026-01-31T00:00:00Z,TOT,MCI,
2026-01-31T00:00:00Z,WOL,BOU,
2026-02-07T00:00:00Z,BOU,AVL,
2026-02-07T00:00:00Z,BHA,CRY,
2026-02-07T00:00:00Z,ARS,SUN,
2026-02-07T00:00:00Z,BUR,WHU,
2026-02-07T00:00:00Z,FUL,EVE,
2026-02-07T00:00:00Z,LIV,MCI,
2026-02-07T00:00:00Z,LEE,NOT,
2026-02-07T00:00:00Z,MUN,TOT,
2026-02-07T00:00:00Z,NEW,BRE,
2026-02-07T00:00:00Z,WOL,CHE,
2026-02-11T00:00:00Z,SUN,LIV,
2026-02-11T00:00:00Z,AVL,BHA,
2026-02-11T00:00:00Z,CRY,BUR,
2026-02-11T00:00:00Z,BRE,ARS,
2026-02-11T00:00:00Z,CHE,LEE,
2026-02-11T00:00:00Z,EVE,BOU,
2026-02-11T00:00:00Z,MCI,FUL,
2026-02-11T00:00:00Z,NOT,WOL,
2026-02-11T00:00:00Z,TOT,NEW,
2026-02-11T00:00:00Z,WHU,MUN,
2026-02-21T00:00:00Z,SUN,FUL,
2026-02-21T00:00:00Z,AVL,LEE,
2026-02-21T00:00:00Z,CRY,WOL,
2026-02-21T00:00:00Z,BRE,BHA,
2026-02-21T00:00:00Z,CHE,BUR,
2026-02-21T00:00:00Z,EVE,MUN,
2026-02-21T00:00:00Z,MCI,NEW,
2026-02-21T00:00:00Z,NOT,LIV,
2026-02-21T00:00:00Z,TOT,ARS,
2026-02-21T00:00:00Z,WHU,BOU,
2026-02-28T00:00:00Z,BOU,SUN,
2026-02-28T00:00:00Z,BHA,NOT,
2026-02-28T00:00:00Z,ARS,CHE,
2026-02-28T00:00:00Z,BUR,BRE,
2026-02-28T00:00:00Z,FUL,TOT,
2026-02-28T00:00:00Z,LIV,WHU,
2026-02-28T00:00:00Z,LEE,MCI,
2026-02-28T00:00:00Z,MUN,CRY,
2026-02-28T00:00:00Z,NEW,EVE,
2026-02-28T00:00:00Z,WOL,AVL,
2026-03-04T00:00:00Z,BOU,BRE,
2026-03-04T00:00:00Z,AVL,CHE,
2026-03-04T00:00:00Z,BHA,ARS,
2026-03-04T00:00:00Z,EVE,BUR,
2026-03-04T00:00:00Z,FUL,WHU,
2026-03-04T00:00:00Z,LEE,SUN,
2026-03-04T00:00:00Z,MCI,NOT,
2026-03-04T00:00:00Z,NEW,MUN,
2026-03-04T00:00:00Z,TOT,CRY,
2026-03-04T00:00:00Z,WOL,LIV,
2026-03-14T00:00:00Z,SUN,BHA,
2026-03-14T00:00:00Z,CRY,LEE,
2026-03-14T00:00:00Z,ARS,EVE,
2026-03-14T00:00:00Z,BRE,WOL,
2026-03-14T00:00:00Z,BUR,BOU,
2026-03-14T00:00:00Z,CHE,NEW,
2026-03-14T00:00:00Z,LIV,TOT,
2026-03-14T00:00:00Z,MUN,AVL,
2026-03-14T00:00:00Z,NOT,FUL,
2026-03-14T00:00:00Z,WHU,MCI,
2026-03-21T00:00:00Z,BOU,MUN,
2026-03-21T00:00:00Z,AVL,WHU,
2026-03-21T00:00:00Z,BHA,LIV,
2026-03-21T00:00:00Z,EVE,CHE,
2026-03-21T00:00:00Z,FUL,BUR,
2026-03-21T00:00:00Z,LEE,BRE,
2026-03-21T00:00:00Z,MCI,CRY,
2026-03-21T00:00:00Z,NEW,SUN,
2026-03-21T00:00:00Z,TOT,NOT,
2026-03-21T00:00:00Z,WOL,ARS,
2026-04-11T00:00:00Z,SUN,TOT,
2026-04-11T00:00:00Z,CRY,NEW,
2026-04-11T00:00:00Z,ARS,BOU,
2026-04-11T00:00:00Z,BRE,EVE,
2026-04-11T00:00:00Z,BUR,BHA,
2026-04-11T00:00:00Z,CHE,MCI,
2026-04-11T00:00:00Z,LIV,FUL,
2026-04-11T00:00:00Z,MUN,LEE,
2026-04-11T00:00:00Z,NOT,AVL,
2026-04-11T00:00:00Z,WHU,WOL,
2026-04-18T00:00:00Z,NEW,BOU,
2026-04-18T00:00:00Z,NOT,BUR,
2026-04-18T00:00:00Z,TOT,BHA,
2026-04-18T00:00:00Z,AVL,SUN,
2026-04-18T00:00:00Z,CRY,WHU,
2026-04-18T00:00:00Z,BRE,FUL,
2026-04-18T00:00:00Z,CHE,MUN,
2026-04-18T00:00:00Z,EVE,LIV,
2026-04-18T00:00:00Z,LEE,WOL,
2026-04-18T00:00:00Z,MCI,ARS,
2026-04-25T00:00:00Z,BOU,LEE,
2026-04-25T00:00:00Z,SUN,NOT,
2026-04-25T00:00:00Z,BHA,CHE,
2026-04-25T00:00:00Z,ARS,NEW,
2026-04-25T00:00:00Z,BUR,MCI,
2026-04-25T00:00:00Z,FUL,AVL,
2026-04-25T00:00:00Z,LIV,CRY,
2026-04-25T00:00:00Z,MUN,BRE,
2026-04-25T00:00:00Z,WHU,EVE,
2026-04-25T00:00:00Z,WOL,TOT,
2026-05-02T00:00:00Z,BOU,CRY,
2026-05-02T00:00:00Z,AVL,TOT,
2026-05-02T00:00:00Z,ARS,FUL,
2026-05-02T00:00:00Z,BRE,WHU,
2026-05-02T00:00:00Z,CHE,NOT,
2026-05-02T00:00:00Z,EVE,MCI,
2026-05-02T00:00:00Z,LEE,BUR,
2026-05-02T00:00:00Z,MUN,LIV,
2026-05-02T00:00:00Z,NEW,BHA,
2026-05-02T00:00:00Z,WOL,SUN,
2026-05-09T00:00:00Z,SUN,MUN,
2026-05-09T00:00:00Z,BHA,WOL,
2026-05-09T00:00:00Z,CRY,EVE,
2026-05-09T00:00:00Z,BUR,AVL,
2026-05-09T00:00:00Z,FUL,BOU,
2026-05-09T00:00:00Z,LIV,CHE,
2026-05-09T00:00:00Z,MCI,BRE,
2026-05-09T00:00:00Z,NOT,NEW,
2026-05-09T00:00:00Z,TOT,LEE,
2026-05-09T00:00:00Z,WHU,ARS,
2026-05-17T00:00:00Z,BOU,MCI,
2026-05-17T00:00:00Z,AVL,LIV,
2026-05-17T00:00:00Z,ARS,BUR,
2026-05-17T00:00:00Z,BRE,CRY,
2026-05-17T00:00:00Z,CHE,TOT,
2026-05-17T00:00:00Z,EVE,SUN,
2026-05-17T00:00:00Z,LEE,BHA,
2026-05-17T00:00:00Z,MUN,NOT,
2026-05-17T00:00:00Z,NEW,WHU,
2026-05-17T00:00:00Z,WOL,FUL,
2026-05-24T00:00:00Z,SUN,CHE,
2026-05-24T00:00:00Z,BHA,MUN,
2026-05-24T00:00:00Z,CRY,ARS,
2026-05-24T00:00:00Z,BUR,WOL,
2026-05-24T00:00:00Z,FUL,NEW,
2026-05-24T00:00:00Z,LIV,BRE,
2026-05-24T00:00:00Z,MCI,AVL,
2026-05-24T00:00:00Z,NOT,BOU,
2026-05-24T00:00:00Z,TOT,EVE,
2026-05-24T00:00:00Z,WHU,LEE,
