utcDate,homeTeam,awayTeam,score
2026-03-22T00:00:00Z,EST,RIO,
2026-03-22T00:00:00Z,ALV,SPO,
2026-03-22T00:00:00Z,FAM,CDN,
2026-03-22T00:00:00Z,CD ,GIL,
2026-03-22T00:00:00Z,SCB,FCP,
2026-03-22T00:00:00Z,BEN,GUI,
2026-04-04T00:00:00Z,GIL,AVS,
2026-04-04T00:00:00Z,CDN,AMA,
2026-04-04T00:00:00Z,RIO,ALV,
2026-04-04T00:00:00Z,FCP,FAM,
2026-04-04T00:00:00Z,SPO,CD ,
2026-04-04T00:00:00Z,MOR,SCB,
2026-04-04T00:00:00Z,CAS,BEN,
2026-04-04T00:00:00Z,FCA,EST,
2026-04-04T00:00:00Z,GUI,TON,
2026-04-12T00:00:00Z,SCB,FCA,
2026-04-12T00:00:00Z,TON,GIL,
2026-04-12T00:00:00Z,AVS,GUI,
2026-04-12T00:00:00Z,EST,FCP,
2026-04-12T00:00:00Z,AMA,SPO,
2026-04-12T00:00:00Z,ALV,CAS,
2026-04-12T00:00:00Z,FAM,MOR,
2026-04-12T00:00:00Z,CD ,RIO,
2026-04-12T00:00:00Z,BEN,CDN,
2026-04-19T00:00:00Z,RIO,AVS,
2026-04-19T00:00:00Z,MOR,EST,
2026-04-19T00:00:00Z,CDN,ALV,
2026-04-19T00:00:00Z,CAS,CD ,
2026-04-19T00:00:00Z,SPO,BEN,
2026-04-19T00:00:00Z,GIL,GUI,
2026-04-19T00:00:00Z,FCA,AMA,
2026-04-19T00:00:00Z,FCP,TON,
2026-04-19T00:00:00Z,SCB,FAM,
2026-04-26T00:00:00Z,GIL,CAS,
2026-04-26T00:00:00Z,TON,CDN,
2026-04-26T00:00:00Z,CD ,SCB,
2026-04-26T00:00:00Z,AVS,SPO,
2026-04-26T00:00:00Z,EST,FAM,
2026-04-26T00:00:00Z,AMA,FCP,
2026-04-26T00:00:00Z,ALV,FCA,
2026-04-26T00:00:00Z,BEN,MOR,
2026-04-26T00:00:00Z,GUI,RIO,
2026-05-03T00:00:00Z,CDN,AVS,
2026-05-03T00:00:00Z,MOR,AMA,
2026-05-03T00:00:00Z,FCP,ALV,
2026-05-03T00:00:00Z,RIO,GIL,
2026-05-03T00:00:00Z,FAM,BEN,
2026-05-03T00:00:00Z,SPO,GUI,
2026-05-03T00:00:00Z,CAS,TON,
2026-05-03T00:00:00Z,FCA,CD ,
2026-05-03T00:00:00Z,SCB,EST,
2026-05-10T00:00:00Z,GUI,CAS,
2026-05-10T00:00:00Z,GIL,FCA,
2026-05-10T00:00:00Z,TON,MOR,
2026-05-10T00:00:00Z,AVS,FCP,
2026-05-10T00:00:00Z,AMA,FAM,
2026-05-10T00:00:00Z,ALV,EST,
2026-05-10T00:00:00Z,RIO,SPO,
2026-05-10T00:00:00Z,CD ,CDN,
2026-05-10T00:00:00Z,BEN,SCB,
2026-05-17T00:00:00Z,MOR,AVS,
2026-05-17T00:00:00Z,FAM,ALV,
2026-05-17T00:00:00Z,SPO,GIL,
2026-05-17T00:00:00Z,FCP,CD ,
2026-05-17T00:00:00Z,EST,BEN,
2026-05-17T00:00:00Z,CDN,GUI,
2026-05-17T00:00:00Z,CAS,RIO,
2026-05-17T00:00:00Z,FCA,TON,
2026-05-17T00:00:00Z,SCB,AMA,
