utcDate,homeTeam,awayTeam,score
2026-01-06T19:45:00Z,SAS,JUV,
2026-01-07T17:30:00Z,BOL,ATA,
2026-01-07T17:30:00Z,NAP,HVE,
2026-01-07T19:45:00Z,TOR,UDI,
2026-01-07T19:45:00Z,LAZ,FIO,
2026-01-07T19:45:00Z,PAR,INT,
2026-01-08T17:30:00Z,CRE,CAG,
2026-01-08T19:45:00Z,MIL,GEN,
2026-01-10T14:00:00Z,COM,BOL,
2026-01-10T14:00:00Z,UDI,PIS,
2026-01-10T17:00:00Z,ROM,SAS,
2026-01-10T19:45:00Z,ATA,TOR,
2026-01-11T11:30:00Z,USL,PAR,
2026-01-11T14:00:00Z,FIO,MIL,
2026-01-11T17:00:00Z,HVE,LAZ,
2026-01-11T19:45:00Z,INT,NAP,
2026-01-12T17:30:00Z,GEN,CAG,
2026-01-12T19:45:00Z,JUV,CRE,
2026-01-14T17:30:00Z,NAP,PAR,
2026-01-14T19:45:00Z,INT,USL,
2026-01-15T17:30:00Z,HVE,BOL,
2026-01-15T19:45:00Z,COM,MIL,
2026-01-16T19:45:00Z,PIS,ATA,
2026-01-17T14:00:00Z,UDI,INT,
2026-01-17T17:00:00Z,NAP,SAS,
2026-01-17T19:45:00Z,CAG,JUV,
2026-01-18T11:30:00Z,PAR,GEN,
2026-01-18T14:00:00Z,BOL,FIO,
2026-01-18T17:00:00Z,TOR,ROM,
2026-01-18T19:45:00Z,MIL,USL,
2026-01-19T17:30:00Z,CRE,HVE,
2026-01-19T19:45:00Z,LAZ,COM,
2026-01-23T19:45:00Z,INT,PIS,
2026-01-24T14:00:00Z,COM,TOR,
2026-01-24T17:00:00Z,FIO,CAG,
2026-01-24T19:45:00Z,USL,LAZ,
2026-01-25T11:30:00Z,SAS,CRE,
2026-01-25T14:00:00Z,ATA,PAR,
2026-01-25T14:00:00Z,GEN,BOL,
2026-01-25T17:00:00Z,JUV,NAP,
2026-01-25T19:45:00Z,ROM,MIL,
2026-01-26T19:45:00Z,HVE,UDI,
2026-02-01T00:00:00Z,CAG,HVE,
2026-02-01T00:00:00Z,COM,ATA,
2026-02-01T00:00:00Z,BOL,MIL,
2026-02-01T00:00:00Z,TOR,USL,
2026-02-01T00:00:00Z,LAZ,GEN,
2026-02-01T00:00:00Z,PAR,JUV,
2026-02-01T00:00:00Z,PIS,SAS,
2026-02-01T00:00:00Z,NAP,FIO,
2026-02-01T00:00:00Z,UDI,ROM,
2026-02-01T00:00:00Z,CRE,INT,
2026-02-08T00:00:00Z,FIO,TOR,
2026-02-08T00:00:00Z,MIL,COM,
2026-02-08T00:00:00Z,ROM,CAG,
2026-02-08T00:00:00Z,ATA,CRE,
