station_name,metadata,month,tmax,tmax_is_estimated,tmin,tmin_is_estimated,af,af_is_estimated,rain,rain_is_estimated,sun,sun_is_estimated,sun_instrument,provisional
aberporth,,1956-03,10.6,False,3.9,False,,,33.4,False,189.4,False,Campbell Stokes recorder,False
aberporth,,1956-04,10.6,False,3.8,False,,,24.2,False,179.9,False,Campbell Stokes recorder,False
aberporth,,1956-05,14.5,False,7.7,False,,,25.7,False,262.5,False,Campbell Stokes recorder,False
aberporth,,1956-06,15.0,False,9.3,False,,,56.6,False,216.8,False,Campbell Stokes recorder,False
aberporth,,1956-07,17.6,False,12.0,False,,,82.8,False,193.8,False,Campbell Stokes recorder,False
aberporth,,1956-08,15.7,False,10.7,False,,,103.2,False,181.7,False,Campbell Stokes recorder,False
aberporth,,1956-09,16.9,False,11.9,False,,,107.8,False,93.4,False,Campbell Stokes recorder,False
aberporth,,1956-10,12.7,False,8.2,False,,,42.8,False,113.4,False,Campbell Stokes recorder,False
aberporth,,1956-11,9.1,False,6.0,False,,,66.0,False,48.8,False,Campbell Stokes recorder,False
aberporth,,1956-12,8.5,False,5.4,False,,,114.6,False,33.8,False,Campbell Stokes recorder,False
aberporth,,1957-01,8.6,False,3.9,False,2.0,False,80.6,False,55.6,False,Campbell Stokes recorder,False
aberporth,,1957-02,8.5,False,3.2,False,2.0,False,85.1,False,105.2,False,Campbell Stokes recorder,False
aberporth,,1957-03,12.2,False,7.4,False,0.0,False,83.1,False,98.3,False,Campbell Stokes recorder,False
aberporth,,1957-04,11.3,False,6.2,False,0.0,False,7.4,False,181.1,False,Campbell Stokes recorder,False
aberporth,,1957-05,13.6,False,7.4,False,0.0,False,54.1,False,268.7,False,Campbell Stokes recorder,False
aberporth,,1957-06,18.2,False,10.6,False,0.0,False,48.5,False,327.0,False,Campbell Stokes recorder,False
aberporth,,1957-07,17.7,False,12.7,False,0.0,False,123.2,False,142.8,False,Campbell Stokes recorder,False
aberporth,,1957-08,17.7,False,12.5,False,0.0,False,52.3,False,153.4,False,Campbell Stokes recorder,False
aberporth,,1957-09,15.3,False,11.1,False,0.0,False,187.7,False,108.3,False,Campbell Stokes recorder,False
aberporth,,1957-10,13.8,False,9.3,False,0.0,False,101.2,False,77.4,False,Campbell Stokes recorder,False
aberporth,,1957-11,9.2,False,5.1,False,1.0,False,59.0,False,63.0,False,Campbell Stokes recorder,False
aberporth,,1957-12,8.4,False,3.3,False,3.0,False,76.5,False,66.7,False,Campbell Stokes recorder,False
aberporth,,1958-01,7.7,False,3.2,False,7.0,False,100.2,False,50.9,False,Campbell Stokes recorder,False
aberporth,,1958-02,8.4,False,3.7,False,2.0,False,100.7,False,57.3,False,Campbell Stokes recorder,False
aberporth,,1958-03,7.6,False,1.7,False,8.0,False,21.1,False,128.8,False,Campbell Stokes recorder,False
aberporth,,1958-04,10.6,False,4.6,False,4.0,False,17.8,False,169.0,False,Campbell Stokes recorder,False
aberporth,,1958-05,13.4,False,7.8,False,0.0,False,95.3,False,190.8,False,Campbell Stokes recorder,False
aberporth,,1958-06,16.0,False,10.0,False,0.0,False,86.9,False,203.3,False,Campbell Stokes recorder,False
aberporth,,1958-07,17.1,False,11.7,False,0.0,False,113.7,False,161.5,False,Campbell Stokes recorder,False
aberporth,,1958-08,17.2,False,12.7,False,0.0,False,108.0,False,122.2,False,Campbell Stokes recorder,False
aberporth,,1958-09,17.6,False,12.1,False,0.0,False,184.5,False,141.5,False,Campbell Stokes recorder,False
aberporth,,1958-10,13.1,False,9.0,False,0.0,False,94.5,False,80.5,False,Campbell Stokes recorder,False
aberporth,,1958-11,10.4,False,5.8,False,0.0,False,73.6,False,52.9,False,Campbell Stokes recorder,False
aberporth,,1958-12,8.3,False,3.8,False,1.0,False,82.8,False,47.1,False,Campbell Stokes recorder,False
aberporth,,1959-01,6.4,False,2.1,False,5.0,False,118.0,False,72.1,False,Campbell Stokes recorder,False
aberporth,,1959-02,8.8,False,2.9,False,6.0,False,10.8,False,94.5,False,Campbell Stokes recorder,False
aberporth,,1959-03,10.1,False,5.2,False,0.0,False,94.1,False,113.1,False,Campbell Stokes recorder,False
aberporth,,1959-04,11.5,False,6.4,False,0.0,False,84.0,False,155.6,False,Campbell Stokes recorder,False
aberporth,,1959-05,15.5,False,8.9,False,0.0,False,46.2,False,255.1,False,Campbell Stokes recorder,False
aberporth,,1959-06,17.3,False,10.9,False,0.0,False,34.9,False,284.4,False,Campbell Stokes recorder,False
aberporth,,1959-07,19.1,False,12.7,False,0.0,False,55.5,False,243.8,False,Campbell Stokes recorder,False
aberporth,,1959-08,19.1,False,13.0,False,0.0,False,17.2,False,214.7,False,Campbell Stokes recorder,False
aberporth,,1959-09,19.6,False,11.5,False,0.0,False,8.9,False,217.4,False,Campbell Stokes recorder,False
aberporth,,1959-10,16.2,False,10.8,False,0.0,False,157.4,False,114.1,False,Campbell Stokes recorder,False
aberporth,,1959-11,10.5,False,6.6,False,0.0,False,229.9,False,46.9,False,Campbell Stokes recorder,False
aberporth,,1959-12,9.1,False,4.9,False,0.0,False,148.9,False,35.4,False,Campbell Stokes recorder,False
aberporth,,1960-01,7.9,False,3.4,False,4.0,False,131.0,False,58.7,False,Campbell Stokes recorder,False
aberporth,,1960-02,7.1,False,2.3,False,5.0,False,112.5,False,75.5,False,Campbell Stokes recorder,False
aberporth,,1960-03,10.0,False,4.2,False,0.0,False,58.3,False,110.8,False,Campbell Stokes recorder,False
aberporth,,1960-04,10.9,False,5.6,False,0.0,False,92.1,False,187.7,False,Campbell Stokes recorder,False
aberporth,,1960-05,15.5,False,9.2,False,0.0,False,46.9,False,199.2,False,Campbell Stokes recorder,False
aberporth,,1960-06,18.0,False,11.6,False,0.0,False,43.4,False,245.7,False,Campbell Stokes recorder,False
aberporth,,1960-07,17.0,False,11.9,False,0.0,False,89.4,False,165.0,False,Campbell Stokes recorder,False
aberporth,,1960-08,17.0,False,12.0,False,0.0,False,98.5,False,169.9,False,Campbell Stokes recorder,False
aberporth,,1960-09,15.7,False,10.6,False,0.0,False,138.4,False,135.2,False,Campbell Stokes recorder,False
aberporth,,1960-10,13.0,False,8.4,False,0.0,False,150.8,False,73.9,False,Campbell Stokes recorder,False
aberporth,,1960-11,10.3,False,5.8,False,0.0,False,204.7,False,49.3,False,Campbell Stokes recorder,False
aberporth,,1960-12,7.3,False,2.8,False,6.0,False,126.1,False,66.7,False,Campbell Stokes recorder,False
