month,country_or_territory,currency,code,rate
2021-01,Ukraine,Hryvnia,UAH,37.5800
2021-01,Uruguay,Peso,UYU,57.2600
2021-01,Uzbekistan,Sum,UZS,14122.0000
2021-01,Vanuatu,Vatu,VUV,148.5900
2021-01,Vietnam,Dong,VND,31213.7100
2021-01,Wallis & Futuna Islands,CFP Franc,XPF,132.1600
2021-01,Western Samoa,Tala,WST,3.4169
2021-01,Yemen (Rep of),Rial,YER,337.8200
2021-01,Zambia,Kwacha,ZMW,28.4600
2021-01,Zimbabwe,Dollar,ZWL,488.4500
2021-02,Abu Dhabi,Dirham,AED,5.0071
2021-02,Albania,Lek,ALL,138.9000
2021-02,Algeria,Dinar,DZD,180.7600
2021-02,Angola,Readj Kwanza,AOA,886.7300
2021-02,Antigua,E Caribbean Dollar,XCD,3.6805
2021-02,Argentina,Peso,ARS,117.6700
2021-02,Armenia,Dram,AMD,707.7300
2021-02,Aruba,Florin,AWG,2.4401
2021-02,Australia,Dollar,AUD,1.7604
2021-02,Azerbaijan,New Manat,AZN,2.3160
2021-02,Bahamas,Dollar,BSD,1.3632
2021-02,Bahrain,Dinar,BHD,0.5139
2021-02,Bangladesh,Taka,BDT,115.5200
2021-02,Barbados,Dollar,BBD,2.7263
2021-02,Belarus,Rouble,BYN,3.4572
2021-02,Belize,Dollar,BZD,2.7263
2021-02,Benin,CFA Franc,XOF,738.6800
2021-02,Bermuda,Dollar (US),BMD,1.3632
2021-02,Bhutan,Ngultrum,BTN,99.5500
2021-02,Bolivia,Boliviano,BOB,9.4194
2021-02,Bosnia- Herzegovinia,Marka,BAM,2.2025
2021-02,Botswana,Pula,BWP,14.8800
2021-02,Brazil,Real,BRL,7.2223
2021-02,Brunei,Dollar,BND,1.8068
2021-02,Bulgaria,Lev,BGN,2.2026
2021-02,Burkina Faso,CFA Franc,XOF,738.6800
2021-02,Burundi,Franc,BIF,2659.5200
2021-02,Cambodia,Riel,KHR,5528.9700
2021-02,Cameroon Republic,CFA Franc,XAF,738.6800
2021-02,Canada,Dollar,CAD,1.7215
2021-02,Cape Verde Islands,Escudo,CVE,124.5900
2021-02,Cayman Islands,Dollar,KYD,1.1178
